ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Chemical\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Text\" DisplayName=\"Concentration\" Name=\"field_1\" ID=\"{0f09ece3-7284-4c30-a854-a8e5b1c25603}\" StaticName=\"field_1\" />","<Field Type=\"Text\" DisplayName=\"900gsm PVC 20°C\" Name=\"field_2\" ID=\"{54ec0efa-dc4a-4959-919a-7d702612d993}\" StaticName=\"field_2\" />","<Field Type=\"Text\" DisplayName=\"900gsm PVC 60°C\" Name=\"field_3\" ID=\"{a7f004fb-4ec4-40af-a5b2-edbfe94de2ed}\" StaticName=\"field_3\" />","<Field Type=\"Text\" DisplayName=\"XR-5\" Name=\"field_4\" ID=\"{ffc488e4-d966-4b75-8cbb-8b5ade8d655b}\" StaticName=\"field_4\" />","<Field Type=\"Text\" DisplayName=\"CoolGuard HRL\" Name=\"field_5\" ID=\"{e06c09f9-3736-4194-aa61-de024acb1615}\" StaticName=\"field_5\" />"]}
"Title","Concentration","900gsm PVC 20°C","900gsm PVC 60°C","XR-5","CoolGuard HRL"
"Acetaldehyde ","0.4","Not recommended","Not recommended",,
"Acetaldehyde ","1","Not recommended","Not recommended",,
"Acetamide ",,"Not recommended ","Not recommended",,
"Acetic Acid","0.05","Little or no effect ","Little or no effect","Some effect","Little or no effect"
"Acetic Acid","0.1","Little or no effect ","Some effect",,
"Acetic Acid","0.5","Some effect ","Some effect","Not recommended","Some effect"
"Acetic Acid","0.9","Some effect ","Not recommended",,
"Acetic Acid","0.1","Not recommended","Not recommended",,
"Acetic Anhydride","1","Not recommended","Not recommended",,
"Acetone ",,"Not recommended","Not recommended",,
"Acetonitrile",,"Not recommended","Not recommended",,
"Acetophenone",,"Not recommended","Not recommended",,
"Acetyl Chloride","1","Not recommended","Not recommended",,
"Acetylene","1","Little or no effect","Little or no effect",,
"Acrylonitrile",,"Not recommended","Not recommended","Little or no effect",
"Adipic acid","Saturated","Little or no effect","Some effect",,
"Alanine",,"Not recommended","Not recommended",,
"Allyl Alcohol","0.96","Some effect","Not recommended",,
"Allyl Chloride","1","Not recommended","Not recommended",,
"Alum",,"Little or no effect","Little or no effect",,
"Aluminum Chloride","0.1","Little or no effect","Little or no effect",,
"Aluminum Chloride","Solid","Little or no effect","Little or no effect",,
"Aluminum Chloride","Saturated","Little or no effect","Little or no effect",,
"Aluminum Flurode","Aqueous","Little or no effect","Little or no effect",,
"Aluminum Hydroxide ",,"Little or no effect ","Little or no effect",,
"Ammonia ",,"Little or no effect ",,,
"Aluminum Mitrate","Aqueous","Little or no effect","Little or no effect",,
"Aluminum Oxide","Solid","Little or no effect","Little or no effect",,
